,AIC,BIC,Adjusted R2,Least Important Feature
0,220.2738451923713,269.82341881325743,0.8377586646395716,normalized-losses
1,218.29949624031718,264.54576495314427,0.8386056699925525,bore
2,216.87223482322094,259.81519862798893,0.8390060599453264,curb-weight
3,215.99389214038462,255.63355103709353,0.8389617269892727,wheel-base
4,215.9355425164498,252.27189650509962,0.8382543641284208,highway-mpg
5,215.19468121609157,248.22773029668232,0.8380901064119095,length
6,214.8703799850099,244.6001241575416,0.8375849925467942,city-mpg
7,214.7915286052139,241.2179678696865,0.8368748055117493,height
8,215.84200053825646,238.96513489466997,0.8352339683730021,horsepower
9,225.5955599129291,245.41538936128356,0.8262077713098419,compression-ratio
10,234.4515851234945,250.9681096637899,0.8174990327983598,stroke
11,245.26307477802408,258.4762944102604,0.8064752990645147,peak-rpm
12,263.4790593457518,273.388974069929,0.7870794921584778,width
