,AIC,BIC,Adjusted R2,Least Important Feature,VIF (Dropped Feature)
0,-13417.512328105895,-13364.65944957695,1.0,city-mpg,27.841241701041426
1,-13547.500093056833,-13497.950519435946,1.0,curb-weight,16.30298689178728
2,-13575.1964372962,-13528.950168583373,1.0,engine-size,8.363131363449046
3,-13499.815654866166,-13456.872691061399,1.0,length,8.328596432694477
4,-13176.194658607576,-13136.554999710866,1.0,horsepower,6.12143227536877
5,-13540.116446714776,-13503.780092726125,1.0,width,5.289689378575118
6,-13390.718930282868,-13357.685881202278,1.0,wheel-base,3.498503470700305
7,-13411.589073679403,-13381.859329506871,1.0,highway-mpg,3.1075503374344016
8,-13493.851970875701,-13467.425531611229,1.0,bore,1.5950828275635411
9,-14032.19321585608,-14009.070081499665,1.0,peak-rpm,1.3382234403880173
10,-13312.39052170087,-13292.570692252517,1.0,height,1.289978572049351
11,-13548.6056150672,-13532.089090526904,1.0,compression-ratio,1.0596307604898223
12,-13618.905545334015,-13605.692325701779,1.0,normalized-losses,1.0241512396152124
13,-13590.37512741949,-13580.465212695311,1.0,stroke,1.0068143570144246
